,sub_center_id
0,4.0
1,5.0
2,14.0
3,20.0
4,24.0
5,25.0
6,26.0
7,34.0
8,36.0
9,37.0
10,38.0
11,39.0
12,45.0
13,48.0
14,53.0
15,55.0
16,58.0
17,65.0
18,69.0
19,81.0
20,82.0
21,90.0
22,93.0
23,103.0
24,108.0
25,109.0
26,111.0
27,114.0
28,118.0
29,121.0
30,122.0
31,145.0
32,146.0
33,148.0
34,149.0
35,154.0
36,155.0
37,156.0
38,159.0
39,165.0
40,167.0
41,169.0
42,170.0
43,177.0
44,178.0
45,181.0
46,195.0
47,207.0
48,211.0
49,212.0
50,226.0
51,228.0
52,231.0
53,232.0
54,233.0
55,237.0
56,239.0
57,240.0
58,241.0
59,243.0
60,247.0
61,252.0
62,256.0
63,257.0
64,259.0
65,308.0
